,proverb,translation,
619,ஆடிக்காற்றில் எச்சிற் கல்லைக்கு வழியா?,Is there any way of escape for a leaf-plate before the wind of July?,
620,ஆடிக்காற்றிலே இலவம்பஞ்சு பறந்ததுபோல.,Like silk-cotton scattered by the wind of July.,
621,ஆடிக்கு அழைக்காத மாமியாரைத் தேடி மயிரைப் பிடித்துச் செருப்பால் அடி.,"Seek, seize her by the hair, and slipper a mother-in-law who does not invite you in July.The parents of a newly married woman separate her from her husband, that she may be under their care during the first year of marriage, in the month of July. This is necessary to prevent conception in that month and delivery in the following April. The birth of a first child in April if a son is believed to bring ruin upon a family.",
622,ஆடிமாசத்தில் குத்தின குத்து ஆவணிமாசத்தில் உளைவு எடுத்ததாம்.,"They say that the cuff was given in July, and the pain felt in August.",
623,ஆடிய காலும் பாடிய மிடறும்.,A dancing foot and a singing throat.,
624,ஆடி விதை தேடிப்போடு.,Provide seed-corn and sow in July.,
625,ஆடு இருக்க இடையனை விழுங்குமா?,While there are sheep will it (the tiger or wolf) swallow the shepherd?,
626,ஆடு எடுத்த கள்ளனைப்போலே விழிக்கிறான்.,He stares like a thief who has stolen a sheep.,
627,ஆடு கடிக்கிறதென்று இடையன் உறியேறிப் பதுங்குகிறான்.,The shepherd is trembling aloft fearing the sheep may bite him.,
628,ஆடு காற்பணம் வால் முக்காற்பணம்.,The price of the sheep is a quarter of a fanam that of its tail three fourths of a fanam.,
629,ஆடு கிடந்த இடத்திலே மயிர்தானும் கிடையாமற் போயிற்று.,Not even hair is found where sheep were penned.,
630,ஆடு கிடந்த இடமும் அகம்படியான் இருந்த இடமும் உருப்படாது.,A place where sheep were penned and a place once occupied by an Agambadyan are profitless.,
631,ஆடுகிடந்த இடத்தில் பழுப்புத்தானும் கிடையாது.,Not a leaf will be found where the sheep lay.,
632,ஆடு கொழுக்கிறது எல்லாம் இடையனுக்கு லாபம்.,The fattening of the sheep is an advantage to the shepherd.,
633,"ஆடு கொண்டவன் ஆடித்திரிவான், கோழி கொண்டவன் கூவித்திரிவான்.",He that has bought a sheep will wander about; he that has bought fowls will go about crying them for sale.,
634,ஆடு கொடாத இடையன் ஆவைக் கொடுப்பானா?,Will the shepherd who refused to give a sheep give a cow?,
635,ஆடு கோனானின்றித் தானாய்ப் போகுமா?,Will a sheep lead itself when the shepherd is absent?,
636,ஆடுங்காலம் தலைகீழாய் விழுந்தாலும் கூடும் புசிப்புத்தான் கூடும்.,"Though he may fall headlong when dancing, he will not thereby meet with greater success.",
